phrase,normalized_phrase,context,previous_sentence,next_sentence,title,source,url,created_at,document_id,valid_context,context_label,canonical_topic,action,reviewer_note
스튜디오 촬영,스튜디오 촬영,"스튜디오 촬영을 도와주셨던 이모님, 매번 방문할 때마다 헤어손질과 피팅을 도와주시던 직원분, 엘레강스하고 아우라 뿜뿜인 대표님 부원장님(?) - 직급은 잘 기억이 나지 않았지만, 본식 가봉 날 처음 뵈었지만 너무나도 잘 챙겨주셨던 직원분 한 분 한 분 너무 감사했고, 짧지만 저와의 인연도 소중하게 기억해주셨던 게 너무 감사하더라고요.","스띨레디허는 사실 후기도 많이 찾아보지 못했던 곳이었는데, 드레스 투어 때 너무 친절하셨고 무엇보다도 스타일이 유니크하면서도 여성스럽고, 귀여운 디자인까지 두루두루 다양해서 완전 제 취향저격이었어요.",저 또한 스띨레디허를 만나서 예쁜 드레스를 입고 본식을 할 생각하니 너무 기분이 좋네요.,스띨레디허 드메패키지 계약후기,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=45,,45,,,,,
결혼식 비용,결혼식 비용,결혼식 비용 아끼는 방법 떴다 국립공원 무료 웨딩.,,결갤러 (115.,결혼식 비용 아끼는 방법 떴다 국립공원 무료 웨딩,dcinside,https://gall.dcinside.com/board/view/?id=wedding&no=71740,,71740,,,,,
결혼식 비용,결혼식 비용,si=IUyHiQhAoEgoQXmt 1시간에 수천만 원…결혼식 차라리 안 할게요｜크랩 #크랩 #스드메 #결혼식 갈수록 오르는 결혼식 비용에 아예 결혼식을 하지 않는 '노웨딩'을 선택하는 청년들이 늘고 있습니다.,11 16:48:58 스크랩 ㄷㄷ ?,"아직 우리에게는 생소한 문화라, 가족들의 반대나 축의금 같은 현실적인 문제도 많을텐데요.",펌) 1시간에 수 천만 원…결혼식 차라리 안 할게요,dcinside,https://gall.dcinside.com/board/view/?id=wedding&no=71905,,71905,,,,,
결혼식 비용,결혼식 비용,결혼식 비용 견적.,,결갤러 (182.,결혼식 비용 견적,dcinside,https://gall.dcinside.com/board/view/?id=wedding&no=72393,,72393,,,,,
결혼식 비용,결혼식 비용,"09 23:19:45 스크랩 결혼식 비용 총 정리 💸1000만원 이내💸 후회되는점,스드메가격,멍청비용 아끼는방법,웨딩플래너는?!",07.,결혼식 비용 총 정리 !!!,펌) 결혼식 비용 총 정리 💸1000만원 이내💸,dcinside,https://gall.dcinside.com/board/view/?id=wedding&no=78632,,78632,,,,,
결혼식 비용,결혼식 비용,결혼 관련 컨텐츠는 저번 결혼식 비용 총정리가 마지막일거라고 했는데...,이서입니다!,어제 있었던 일을 그냥 넘어갈 수 없어 영상을 제작하게 되었습니다.,펌) 결혼식 끝났는데 또 추가금이라고요??,dcinside,https://gall.dcinside.com/board/view/?id=wedding&no=79073,,79073,,,,,
결혼 준비를,결혼 준비,"11 17:54:05 스크랩 광고는 아니고요(맞나?) 어쨋든, 최근 몇년전에 결혼을 준비하면서 이제 뭘 해야하는지?",03.,예산은 어떻게 해야할지?,결혼 준비하시는분들,dcinside,https://gall.dcinside.com/board/view/?id=wedding&no=71908,,71908,,,,,
결혼 준비를,결혼 준비,"19 12:58:47 스크랩 저번 달에 친구가 결혼 준비하면서 신혼집 전세 계약했는데 나중에 알고보니 남편이 등기부등본 확인을 제대로 안 했다는 거 근저당에 집값 70% 잡혀있었음 집주인 돈 못 갚으면 우리 보증금 날아가는 구조였던 거 다행히 공인중개사가 보증보험 얘기해줘서 가입했는데 그거 없었으면 진짜 그 친구 결혼 시작부터 망할 뻔 신혼집 구하는 분들 계약 전에 이거 꼭 해보세요 전세사기 위험도 무료 진단 (부동산퀴즈임) 초급, 중급, 상급 있으니까 테스트 한번씩 해봐 나의 부동산 IQ는?",06.,| ROOTPICK 5문제로 알아보는 나의 부동산 지식 수준.,신혼집 전세 계약했는데 남편이 등기부등본 확인 안 했다고 함 ㄷㄷ,dcinside,https://gall.dcinside.com/board/view/?id=wedding&no=77633,,77633,,,,,
결혼 준비를,결혼 준비,"*신혼여행,뷔페 식비 제외*💸결혼 준비하면서 들었던 비용 정리했습니다💸아마 이 콘텐츠가 결혼 관련 마지막 영상이 될 것 같아요 😊혹시 신혼여행 경비가 궁금하신 분들이 있다면 댓글 남겨주세요!",결혼식 비용 총 정리 !!!,원하시는 분들이 많으면 시간 내서 경비도 따로 정리해보겠습...,펌) 결혼식 비용 총 정리 💸1000만원 이내💸,dcinside,https://gall.dcinside.com/board/view/?id=wedding&no=78632,,78632,,,,,
결혼 준비를,결혼 준비,행복한 결혼 준비 시간 보내세요~~~~,"대충 드레스의 느낌을 볼수 있어서 참고를 많이 하였습니다 플래너가 없어서 불안하기도 ㅎ했는데 일정 전에 필요한 준비물 및 주차위치 주차 안내사항 등 미리 꼼꼼히 알려주셔서 감사하고 드레스 고를때에도 비슷한 다른업체도 소개해주셔서 비교한 후에 예쁜 업체로 고를수 있게 해주심 감사합 니다 스튜디오 찍는날도 특별히 신경써달라고 부탁하셨다고 해서 굉장히 든든한마음으로 옆에계신것처럼 사진도 잘찍고 마무리하였습니니다니 저같이 플래너도 없고 업체를 잘 모르겠다 하시면 저는 결직웨딩추천합니다 세심한 준비물 전송 알맞은 시간 안내 다 만족하였습니다 미리미리 챙겨주셔서 감사해요 계약서 작성도 어렵지 않았고, 제 니즈를 많이 물어봐주시고 업체에 특별히 잘부탁한다고 하셨다고해서 감동 이었습니다~ 친절하고 가성비 있게 편하게 준비하고싶다면 결직웨딩으로!",,수수료 없이 직거래 드메 계약완료,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=118,,118,,,,,
결혼 준비를,결혼 준비,"예식 준비 초기라 별 생각 없이 지내다가, 지인도 결혼 준비를 하는데, 박람회에 갔다가 사계절 스튜디오로 상담 받았다고 들었어요.",결직웨딩 통해서 본식 스냅 업체를 여러 군데 추천을 받았습니다.,"그때 마침 저도 본식 스냅 업체를 알아봐야 하는 시기였고, 해서 인스타그램에서 사계절 스튜디오의 본식 스냅 사진을 살펴보았고, 결직웨딩에서 사계절 스튜디오를 검색해보니, 마침 할인쿠폰이 있어서 할인받고 계약했어요.","본식스냅 4군데 비교하고 결정했어요, (사계절스튜디오)",kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=63,,63,,,,,
선택한 이유는,선택한 이유,아벨바이케이 드레스 선택한 이유.,,저는 아직 예식이 시간이 많이 남기도하고 스튜디오 촬영 대신에 제주스냅으로 진행할 예정이라 본식만 준비하면 되는 상황이었어요.,아벨바이케이 드레스 선택한 이유,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=12,,12,,,,,
선택한 이유는,선택한 이유,제가 위뜨 스튜디오를 선택한 이유는 한옥 샷.,위뜨스튜디오 촬영후기 남겨요.,저는 한옥에서 꼭 사진을 찍고 싶은 로망이 있었는데요.,위뜨스튜디오 촬영후기 남겨요,kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=40,,40,,,,,
선택한 이유는,선택한 이유,"모네뜨아르의 경우 제가 선택한 이유는 화려함이 좀 있는 드레스를 원했는데, 모네뜨아르의 드레스들이 비즈의 화려함이 있었고!","모네뜨아르 본식드레스 계약, 가봉후기.",비즈뿐 아니라 레이스의 화려함도 겸비되어있는 드레스 라인들이 있어서 모네뜨아르로 가기로 계약했어요.,"모네뜨아르 본식드레스 계약, 가봉후기",kgwed,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=46,,46,,,,,
