source,research_use,analysis_tier,service_categories,issue_labels,price_mentions,direct_experience,is_repost,title,evidence,url
kgwed,core_problem,C,"dress, package",service_quality,,False,False,모리엠포티 드레스 계약 후기,"직원분들도 너무너무 친절하시고, 특히 부실장님 세상친절 덕분에 긴장도 풀리고, 헤어도 예쁘게 해주셔서 드레스도 한껏 예쁘게 입어볼 수 있었지요. / 직원분들이 너무 친절하시더라구요. / 특히 실장님 세상친절 덕분에 긴장도 풀리고, 헤어도 예쁘게 해주셔서 드레스도 한껏 예쁘게 입어볼 수 있었지요.",https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=68
kgwed,core_problem,C,"studio, dress, makeup, package","service_quality, decision_overload",,False,False,뮤아스튜디오 계약후기 공유해요,"뮤아스튜디오 계약후기 공유해요 올해 드디어 결혼식을 하기로 하고 요즘 한창 결혼 준비에 정신이 없는데요. / 살면서 선택할 게 이렇게 많았던 적은 지금이 처음이라고 해도 과언이 아닐 정도로 스튜디오며 메이크업, 드레스, 신혼집, 가구 등 골라야 할 것도 산더미인 상황이에요. / 궁금한 점이 생길 때마다 질문 드렸는데 아주 친절하고 빠르게 알려주시더라고요.",https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=71
kgwed,core_problem,C,"studio, dress, makeup",service_quality,,False,False,섬스튜디오 세미웨딩촬영 찍고 왔어요,"결과물을 걱정했는데 원본을 받아보고 찍길 잘했다는 생각이 들더라구요. / 세미촬영을 진행하는 스튜디오중에 드레스 구비가 가장 다양하고, 만족도가 높다고 해서 선택한 섬스튜디오인데요, 촬영을 할까말까 고민 많았는데 간단하게 끝내고 왔습니다!",https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=64
kgwed,core_problem,A,"studio, dress, makeup, package",service_quality,,True,False,섬스튜디오 웨딩촬영 계약했어요~!,촬영작가님도 실력도 좋으시고 무엇보다 중간중간 재밌게 해주셔서 웃는 표정 잘 나올수 있었네요 ㅎㅎ 헬퍼님도 친절하신분 매칭되어서 너무 좋았어요 중간중간 제 핸드폰으로 사진 모두 찍어주셔서 셀렉전까지 먼저 보고 만족할수 있었습니다. / 처음 스드메 알아볼때 여러곳 비교했는데 가격과 구성안 매끄러운 일정조율 담당자분의 친절도까지 모두 만족해요 주변 지인들도 결혼 앞두고 스드메 알아보는 사람에겐 적극 추천할 예정이에요~!,https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=98
kgwed,core_problem,C,wedding_hall,"affiliate_recommendation, service_quality",,False,False,소풍 웨딩컨벤션센터 당일 계약 후기,"소풍 웨딩컨벤션센터 당일 계약 후기 첫 웨딩홀 투어로 방문한 소풍컨벤션에서 고민 없이 바로 당일 계약을 하고 나왔어요. / 결혼식 당일에 이것저것 신경 쓸 일이 많은데, 이런 부분은 실제로 겪어보면 만족도가 정말 클 것 같다는 생각이 들었습니다. / 결혼 준비의 큰 숙제를 한 번에 끝낸 기분이라 지금은 선택에 아주 만족하고 있습니다 🙂",https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=123
kgwed,core_problem,C,"studio, dress, makeup, package, wedding_goods","affiliate_recommendation, planner_workflow, service_quality",,False,False,수수료 없이 직거래 드메 계약완료,"수수료 없이 직거래 드메 계약완료 스튜디오: 볼라르 드레스:레이첼 메이크업 :유림헤어앤메이크업 혼수- 예복. / 대충 드레스의 느낌을 볼수 있어서 참고를 많이 하였습니다 플래너가 없어서 불안하기도 ㅎ했는데 일정 전에 필요한 준비물 및 주차위치 주차 안내사항 등 미리 꼼꼼히 알려주셔서 감사하고 드레스 고를때에도 비슷한 다른업체도 소개해주셔서 비교한 후에 예쁜 업체로 고를수 있게 해주심 감사합 니다 스튜디오 찍는날도 특별히 신경써달라고 부탁하셨다고 해서 굉장히 든든한마음으로 옆에계신것처럼 사진도 잘찍고 마무리하였습니니다니 저같이 플래너도 없고 업체를 잘 모르겠다 하시면 저는 결직웨딩추천합니다 세심한 준비물 전송 알맞은 시간 안내 다 만족하였습니다 미리미리 챙겨주셔서 감사해요 계약서 작성도 어렵지 않았고, 제 니즈를 많이 물어봐주시고 업체에 특별히 잘부탁한다고 하셨다고해서 감동 이었습니다~ 친절하고 가성비 있게 편하게 준비",https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=118
kgwed,core_problem,C,"studio, dress","planner_workflow, service_quality",,False,False,스띨레디허 드메패키지 계약후기,"스띨레디허는 사실 후기도 많이 찾아보지 못했던 곳이었는데, 드레스 투어 때 너무 친절하셨고 무엇보다도 스타일이 유니크하면서도 여성스럽고, 귀여운 디자인까지 두루두루 다양해서 완전 제 취향저격이었어요. / 스튜디오 촬영을 도와주셨던 이모님, 매번 방문할 때마다 헤어손질과 피팅을 도와주시던 직원분, 엘레강스하고 아우라 뿜뿜인 대표님 부원장님(?) - 직급은 잘 기억이 나지 않았지만, 본식 가봉 날 처음 뵈었지만 너무나도 잘 챙겨주셨던 직원분 한 분 한 분 너무 감사했고, 짧지만 저와의 인연도 소중하게 기억해주셨던 게 너무 감사하더라고요.",https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=45
kgwed,core_problem,A,"studio, dress, makeup, package","unexpected_extra_cost, price_comparison, affiliate_recommendation, service_quality","20만원, 44만원",True,False,스튜디오 계약후기,"처음에 결직웨딩 알기 전 스드메 상담받을 때 드레스, 메이크업은 자체 진행하는데 스튜디오는 연계가능하다고 해서 몇군데 보여준 곳 중에서 선택하려고 했어요. / 스튜디오는 따로 해도 상관없다고 해서 알아봤는데 연계해줬을때 가격보다 여기가 좀더 저렴하더라고요! / 같은 조건이었고요! / 그래서 스튜디오는 결직웨딩 통해서 했는데 만족합니다. / 결직웨딩 계약 후에는 일정이나 안내 등 카카오톡 통해서 친절하고 빠르게 처리해주셨어요.",https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=112
kgwed,core_problem,C,"wedding_hall, studio, makeup","price_comparison, planner_workflow, service_quality",,False,False,언아더데이 본식 스냅 계약 후기 공유해요!,"작가 지정 아니고 랜덤으로 진행했는데도 메이크업 샵부터 1, 2부 사진이 너무 만족스러웠어요. / 본식 스냅은 식장 정하자마자 예약해야 하는 게 맞나 봅니다. / 저는 리허설 스튜디오만 생각하고 빠르게 예약하고 본식 스냅을 천천히 해도 된다고 생각했어요. / 구성이랑 가격대가 좋아서 언아더데이로 결과물이 너무 좋아서 맘을 선택했습니다. / 언아더데이로 원픽이었는데 가격대가 좀 있는 것 같아서 다른 본식스냅업체들 연락했는데 이미 예약이 다 찼더라고요.",https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=59
kgwed,core_problem,C,"wedding_hall, dress",service_quality,,False,False,엔조최재훈 드레스 투어 후기,"두 곳 모두 친절하게 상담해주셨고, 드레스도 예뻤어요. / 드레스 화보: 미리 본 화보 사진과 실제 드레스가 비슷해서 만족스러웠어요.",https://kgwed.com/%ED%9B%84%EA%B8%B0/?mod=document&uid=66
